ZIP,POP,P0_44,P45_64,P65_,PER65,MEDINC,PERNOINS,PERW,PERHIS,PERBLK,PERASN,PERAUTO,PERTRAN,PERPEDB,PERTELE,PEROFFTC,PERHSRV,PERPSRV,PERFOOD,PERCLEAN,FDTRTPER,WS_5,POPDENS,PERCROWD,CASE4_16,TEST4_16,CASER4_16,TESTR4_16,POSRATE4_16
60645,47732,30039,11129,6564,0.137518,53340,0.123491,0.450034,0.170263,0.170452,0.1627,0.6515,0.217362,0.071739,0.044526,0.444194,0.041645,0.014616,0.087507,0.041741,0.111111,27.451487,0.008163482,0.06880677,433,1239,9.071482444,25.95742898,0.349475383
60646,27987,14578,7677,5732,0.204809,89480,0.060506,0.725873,0.141887,0.010576,0.103262,0.809602,0.117933,0.020939,0.043823,0.516869,0.018694,0.067402,0.013729,0.015116,0,40.390314,0.002363627,0.02557138,80,565,2.858470004,20.1879444,0.14159292
60647,87509,65277,16008,6224,0.071124,73443,0.1061,0.443486,0.448251,0.054372,0.029574,0.500038,0.337791,0.083932,0.06023,0.524537,0.018986,0.014783,0.071778,0.025531,0.029412,60.138423,0.008405989,0.03901895,222,1091,2.536881921,12.46728908,0.203483043
60649,46024,27314,12140,6570,0.142752,30222,0.095811,0.028572,0.025704,0.925561,0.003933,0.485262,0.432351,0.025449,0.044913,0.429898,0.084664,0.07024,0.038851,0.035093,0.642857,17.252805,0.006066369,0.03269834,270,1085,5.866504432,23.5746567,0.248847926
60651,63218,41626,14372,7220,0.114208,38083,0.159765,0.041491,0.424879,0.512038,0.00484,0.690017,0.223903,0.033041,0.037559,0.359073,0.0739,0.026371,0.093745,0.054826,0.5625,58.482745,0.006983206,0.06771488,357,1057,5.647125819,16.71992154,0.337748344
60652,43907,27514,11653,4740,0.107955,68425,0.084445,0.101852,0.398091,0.468946,0.008495,0.827731,0.142125,0.002124,0.019837,0.418588,0.043127,0.071429,0.052461,0.039832,0.333333,16.523363,0.00338062,0.03122382,219,632,4.987815155,14.39406017,0.346518987
60653,31972,20511,7339,4122,0.128925,29569,0.061803,0.042975,0.02155,0.903165,0.013355,0.573562,0.293403,0.044204,0.06386,0.480543,0.063676,0.043415,0.05636,0.022833,0.0625,34.227579,0.005292132,0.02620213,204,798,6.38058301,24.95933942,0.255639098
60654,19135,14016,3992,1127,0.058897,112699,0.018918,0.738124,0.052103,0.053724,0.124797,0.245298,0.14639,0.44875,0.097147,0.784054,0.00119,0.00182,0.014,0.0063,0,56.553783,0.01306319,0.01448898,78,275,4.076299974,14.37157042,0.283636364
60655,28804,16965,8108,3731,0.129531,97572,0.027184,0.826101,0.082975,0.066414,0.014616,0.854966,0.081758,0.022997,0.028217,0.435636,0.014119,0.182244,0.02879,0.023418,0,0,0.002524893,0.01915063,130,649,4.513262047,22.53159283,0.200308166
60656,27579,15387,7555,4637,0.168135,61599,0.098517,0.763371,0.12263,0.011784,0.07299,0.814563,0.131484,0.010472,0.033634,0.461408,0.016676,0.065206,0.049279,0.051457,0.25,30.50605,0.003257917,0.01825524,89,647,3.227093078,23.45987889,0.13755796
60657,70052,52841,11593,5618,0.080198,92295,0.034748,0.805002,0.069962,0.025281,0.068977,0.324064,0.515307,0.072115,0.068385,0.700862,0.007037,0.009784,0.040659,0.003894,0,54.84964,0.011896764,0.01676069,159,908,2.269742477,12.96179981,0.175110132
60659,41068,26407,10058,4603,0.112082,51383,0.13315,0.398437,0.191877,0.100005,0.265803,0.67947,0.181766,0.081255,0.038357,0.413938,0.040049,0.008629,0.072078,0.055479,0.142857,39.893068,0.007820857,0.09082878,243,678,5.917015681,16.50920425,0.35840708
60660,43242,26605,10896,5741,0.132764,49241,0.094701,0.516003,0.178715,0.141783,0.128879,0.400852,0.428119,0.080625,0.067154,0.505296,0.033417,0.012272,0.079226,0.030499,0.166667,35.346979,0.012943463,0.05273255,145,522,3.353221405,12.07159706,0.277777778
60661,9926,8494,1215,217,0.021862,107245,0.031332,0.512895,0.064477,0.035966,0.357949,0.214462,0.221323,0.499588,0.040615,0.791215,0.009761,0.005559,0.015727,0.002305,0,55.613147,0.012892215,0.05572263,20,112,2.014910336,11.28349788,0.178571429
