STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/22/28,0,27,11
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/23/28,0,36,17
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/24/28,0,41,22
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/25/28,0,39,24
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/26/28,0.04,46,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/27/28,0.01,39,32
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/28/28,0,44,31
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/29/28,0,35,20
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/30/28,0,32,19
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",12/31/28,0.03,40,29
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/1/29,0.37,33,3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/2/29,0,18,-3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/3/29,0.01,27,9
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/4/29,0.11,31,0
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/5/29,0.8,38,22
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/6/29,0.03,22,3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/7/29,0,4,-5
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/8/29,0,31,-3
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/9/29,0.1,38,27
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/10/29,0,36,21
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/11/29,0,31,1
